Index, Current Value, prev. close, Ch (pts), Ch (%), Date,
BSE 500,36185.03,36266.59,-81.56,-0.22,30-Jan-2026,
BSE MidCap,45182.08,45112.23,69.85,0.15,30/01/2026,
BSE SmallCap,48284.40,47749.58,534.82,1.12,30/01/2026,
BSE SENSEX Next 50 TMC,13995.00,14093.64,-98.64,-0.70,30/01/2026,
BSE LargeMidCap,10715.93,10751.20,-35.27,-0.33,30/01/2026,
BSE AllCap,10499.91,10512.77,-12.86,-0.12,30/01/2026,
BSE LargeCap,9739.13,9780.71,-41.58,-0.43,30/01/2026,
BSE MidSmallCap,12496.99,12418.16,78.83,0.63,30/01/2026,
BSE 250 LargeMidCap 65:35 Index,11967.61,12006.29,-38.68,-0.32,30/01/2026,
BSE SENSEX 50 TMC,8533.77,8566.31,-32.54,-0.38,30/01/2026,
BSE NEXT 500,14077.86,13835.94,241.92,1.75,30/01/2026,
BSE 250 MICROCAP,16116.53,15805.98,310.55,1.96,30/01/2026,
BSE Next 250 MICROCAP,4502.74,4450.21,52.53,1.18,30/01/2026,
