Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover,
BSE SENSEX,84060.14,84541.65,84029.32,84533.20,84478.67,54.53,0.06,85290.06,71425.01,550.14,7.67,
BSE FOCUSED MIDCAP,24951.48,25012.44,24762.11,24842.08,24966.08,-124.00,-0.50,25404.05,18935.55,148.62,2.07,
BSE SENSEX 50,26909.94,27038.65,26887.29,27036.40,27032.60,3.80,0.01,27254.47,22582.21,1030.37,14.37,
BSE SENSEX Next 50,86546.23,86975.36,86225.75,86480.03,86620.09,-140.06,-0.16,87452.31,69787.64,605.61,8.45,
BSE 100,27022.14,27140.86,26986.52,27121.48,27126.25,-4.77,-0.02,27326.83,22539.11,1635.98,22.82,
BSE Bharat 22 Index,8967.07,9030.38,8965.35,9024.60,9010.28,14.32,0.16,9178.40,7356.51,273.70,3.82,
BSE SENSEX SIXTY,34603.46,34754.65,34567.27,34749.42,34753.51,-4.09,-0.01,35065.71,29130.07,1096.74,15.30,
BSE MidCap,47226.46,47351.37,47006.14,47112.10,47199.03,-86.93,-0.18,48264.25,37203.21,1912.37,26.68,
BSE SmallCap,53010.22,53232.13,52984.09,53099.96,53096.27,3.69,0.01,57827.69,41013.68,2259.00,31.51,
BSE 200,11702.34,11752.40,11684.61,11735.93,11739.05,-3.12,-0.03,11803.95,9698.87,2162.70,30.17,
BSE 150 MidCap Index,16534.87,16582.73,16455.54,16495.69,16526.61,-30.92,-0.19,16638.37,12866.17,2121.85,29.60,
BSE 250 SmallCap Index,6812.77,6851.42,6811.02,6836.50,6829.39,7.11,0.10,7430.60,5296.93,1092.95,15.25,
BSE 250 LargeMidCap Index,11102.03,11147.57,11082.22,11129.15,11135.28,-6.13,-0.06,11203.67,9161.54,3620.13,50.50,
BSE 400 MidSmallCap Index,12284.17,12325.38,12252.66,12279.45,12290.28,-10.83,-0.09,12677.43,9555.95,3214.80,44.85,
BSE 500,37245.35,37398.76,37197.31,37342.27,37354.83,-12.56,-0.03,37625.73,30571.61,4807.59,67.07,
BSE LargeCap,9923.41,9968.18,9911.53,9958.45,9960.47,-2.02,-0.02,10032.27,8286.22,1837.55,25.63,
BSE SmallCap Select Index,8204.46,8245.83,8197.16,8232.04,8218.37,13.67,0.17,8551.88,5962.56,296.28,4.13,
BSE MidCap Select Index,17567.58,17635.72,17474.45,17525.10,17593.18,-68.08,-0.39,18148.25,13537.75,187.80,2.62,
BSE 100 LargeCap TMC Index,9518.76,9561.54,9508.42,9554.89,9556.03,-1.14,-0.01,9631.77,7960.27,1592.79,22.22,
BSE SENSEX NEXT 30,39834.38,39942.29,39656.07,39794.50,39905.85,-111.35,-0.28,40553.77,32124.65,546.60,7.63,
BSE 1000,11075.32,11118.64,11061.42,11102.29,11106.80,-4.51,-0.04,11193.79,9066.73,5617.88,78.37,
BSE India 150,19280.82,19362.24,19248.84,19337.00,19347.48,-10.48,-0.05,19459.95,17474.55,1895.36,26.44,
