Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover,
BSE SENSEX,84525.89,84802.52,84253.05,84757.52,84466.51,291.01,0.34,85290.06,71425.01,588.61,15.79,
BSE FOCUSED MIDCAP,25106.11,25209.86,25023.44,25168.81,25100.97,67.84,0.27,25404.05,18935.55,132.30,3.55,
BSE SENSEX 50,27054.00,27136.75,26958.81,27120.51,27026.43,94.08,0.35,27254.47,22582.21,727.75,19.53,
BSE SENSEX Next 50,86903.67,87055.98,86613.36,86969.72,86790.22,179.50,0.21,87452.31,69787.64,207.46,5.57,
BSE 100,27160.51,27236.53,27066.80,27218.47,27131.35,87.12,0.32,27326.83,22539.11,935.21,25.09,
BSE Bharat 22 Index,9003.70,9028.88,8965.52,9015.40,9004.77,10.63,0.12,9178.40,7356.51,134.76,3.62,
BSE SENSEX SIXTY,34779.65,34888.06,34657.87,34866.45,34743.59,122.86,0.35,35065.71,29130.07,767.68,20.60,
BSE MidCap,47414.76,47479.45,47284.59,47392.06,47360.19,31.87,0.07,48264.25,37203.21,459.80,12.34,
BSE SmallCap,53357.85,53513.65,53315.04,53386.52,53255.82,130.70,0.25,57827.69,41013.68,1347.55,36.15,
BSE 200,11758.48,11789.40,11720.80,11780.76,11744.12,36.64,0.31,11803.95,9698.87,1659.79,44.53,
BSE 150 MidCap Index,16605.48,16638.37,16565.06,16611.41,16587.25,24.16,0.15,16638.37,12866.17,753.57,20.22,
BSE 250 SmallCap Index,6872.74,6879.10,6857.13,6861.48,6855.07,6.41,0.09,7430.60,5296.93,554.90,14.89,
BSE 250 LargeMidCap Index,11154.23,11183.72,11119.51,11174.80,11141.16,33.64,0.30,11203.67,9161.54,1858.83,49.87,
BSE 400 MidSmallCap Index,12355.52,12371.41,12326.89,12351.54,12335.76,15.78,0.13,12677.43,9555.95,1308.47,35.11,
BSE 500,37434.18,37523.68,37321.97,37491.93,37385.63,106.30,0.28,37625.73,30571.61,2449.71,65.72,
BSE LargeCap,9971.26,10000.62,9938.66,9994.44,9959.31,35.13,0.35,10032.27,8286.22,1498.73,40.21,
BSE SmallCap Select Index,8252.15,8268.19,8233.14,8252.38,8232.71,19.67,0.24,8551.88,5962.56,170.10,4.56,
BSE MidCap Select Index,17697.54,17715.02,17616.58,17675.42,17683.31,-7.89,-0.04,18148.25,13537.75,167.56,4.50,
BSE 100 LargeCap TMC Index,9564.22,9591.76,9532.52,9586.10,9552.97,33.13,0.35,9631.77,7960.27,1141.24,30.62,
BSE SENSEX NEXT 30,39966.47,40074.47,39778.35,40030.27,39872.04,158.23,0.40,40553.77,32124.65,179.07,4.80,
BSE 1000,11130.77,11158.92,11099.68,11148.85,11116.48,32.37,0.29,11193.79,9066.73,2918.14,78.29,
BSE India 150,19374.80,19429.38,19310.37,19415.29,19353.26,62.03,0.32,19459.95,17474.55,1333.58,35.78,
