Index,Open,High,Low,Current Value,Prev. Close,Ch (pts),Ch (%),52 Wk High,52 WK Low,Turnover (Rs. Cr),% in Total Turnover,
BSE SENSEX,76912.38,77081.30,76549.05,76992.77,76810.90,181.87,0.24,77145.46,62801.91,1409.46,15.00,
BSE SENSEX 50,24646.14,24710.51,24544.43,24684.02,24607.20,76.82,0.31,24710.51,19576.64,1823.98,19.41,
BSE SENSEX Next 50,80951.21,81755.90,80866.80,81675.02,80589.07,1085.95,1.35,81755.90,52201.04,1133.21,12.06,
BSE 100,24847.63,24940.88,24766.13,24920.12,24794.68,125.44,0.51,24940.88,19037.98,2958.47,31.48,
BSE Bharat 22 Index,8940.08,8958.33,8880.85,8941.54,8906.30,35.24,0.40,9354.30,5351.48,972.01,10.34,
BSE MidCap,45682.37,46088.09,45569.14,46058.76,45521.86,536.90,1.18,46088.09,27911.73,1562.06,16.62,
BSE SmallCap,50899.85,51259.06,50741.80,51199.99,50678.94,521.05,1.03,51259.06,31902.03,4678.44,49.79,
BSE 200,10900.63,10947.17,10862.10,10939.03,10875.79,63.24,0.58,10947.17,8047.51,4333.78,46.12,
BSE 150 MidCap Index,15506.48,15639.07,15469.06,15629.37,15447.39,181.98,1.18,15639.07,9776.67,1997.57,21.26,
BSE 250 SmallCap Index,6780.51,6819.51,6762.56,6807.28,6752.38,54.90,0.81,6819.51,4312.18,1790.56,19.06,
BSE 250 LargeMidCap Index,10361.76,10405.41,10325.14,10399.02,10337.27,61.75,0.60,10405.41,7614.22,4934.19,52.51,
BSE 400 MidSmallCap Index,11761.30,11848.86,11732.59,11839.61,11715.22,124.39,1.06,11848.86,7441.44,3788.12,40.31,
BSE 500,34972.31,35122.02,34852.18,35099.19,34884.01,215.18,0.62,35122.02,25392.29,6724.75,71.56,
BSE AllCap,10202.99,10247.89,10167.45,10241.14,10175.66,65.48,0.64,10247.89,7326.87,9243.04,98.36,
BSE LargeCap,9229.19,9257.87,9193.52,9248.60,9210.25,38.35,0.42,9257.87,7082.33,3002.54,31.95,
BSE SmallCap Select Index,7609.80,7682.38,7602.21,7658.83,7583.91,74.92,0.99,7682.38,5168.61,518.01,5.51,
BSE MidCap Select Index,16233.34,16467.27,16206.03,16447.35,16171.04,276.31,1.71,16467.27,10321.38,456.93,4.86,
BSE 100 LargeCap TMC Index,8870.92,8901.39,8836.76,8892.42,8853.44,38.98,0.44,8901.39,6751.16,2936.63,31.25,
